"Route_Name,Route_Link,Bus_Name,Bus_Type,Departure_Time,Duration,Starting_Time,Star_Rating,Price,Seat_Availability"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 1962,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 19:25:00,13h 15m,08:40,3.7,824.0,2"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 6206,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 19:45:00,11h 05m,06:50,3.1,824.0,23"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 8454,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 19:45:00,12h 15m,08:00,2.3,878.0,9"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 1498,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 20:00:00,12h 30m,08:30,4.0,824.0,28"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,TSRTC - 2469,""SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)"",2024-07-17 21:00:00,12h 30m,09:30,2.8,867.0,22"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,IntrCity SmartBus,AC Sleeper (2+1),2024-07-17 21:30:00,09h 50m,07:20,4.7,989.0,1"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Ramana Tours And Travels,A/C Sleeper (2+1),2024-07-17 20:15:00,12h 20m,08:35,4.5,850.0,11"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Zingbus Plus,A/C Sleeper (2+1),2024-07-17 20:50:00,10h 15m,07:05,4.4,927.0,9"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Vikram Travels,A/C Sleeper (2+1),2024-07-17 20:20:00,12h 10m,08:30,4.5,799.0,17"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,IntrCity SmartBus,AC Sleeper (2+1),2024-07-17 20:20:00,10h 25m,06:45,4.2,900.0,6"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Jagan Travels,A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,11h 30m,09:30,4.4,700.0,14"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Jagan Travels,Scania AC Multi Axle Sleeper (2+1),2024-07-17 17:20:00,11h 55m,05:15,4.2,900.0,3"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Moksha Travels,A/C Sleeper (2+1),2024-07-17 19:05:00,11h 55m,07:00,4.1,900.0,6"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,CGR Travels,A/C Seater / Sleeper (2+1),2024-07-17 21:50:00,11h 25m,09:15,4.0,700.0,3"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,CMR Express,Non A/C Seater / Sleeper (2+1),2024-07-17 22:15:00,10h 30m,08:45,4.0,700.0,15"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,CMR Express,A/C Sleeper (2+1),2024-07-17 22:00:00,10h 50m,08:50,4.0,880.0,16"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,ANAGHA TRAVELS,A/C Seater / Sleeper (2+1),2024-07-17 20:45:00,09h 30m,06:15,4.4,800.0,26"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Srivastav Travels,Bharat Benz A/C Sleeper (2+1),2024-07-17 20:00:00,11h 00m,07:00,4.0,799.0,12"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,ANAGHA TRAVELS,A/C Sleeper (2+1),2024-07-17 22:00:00,11h 15m,09:15,4.0,1000.0,16"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Jagan Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:00:00,12h 50m,09:50,4.4,600.0,17"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Mozo travels,A/C Sleeper (2+1),2024-07-17 22:00:00,12h 30m,10:30,4.1,900.0,7"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Mozo travels,A/C Seater / Sleeper (2+1),2024-07-17 20:10:00,13h 10m,09:20,4.0,600.0,18"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Balaji Cabs,Bharat Benz A/C Sleeper (2+1),2024-07-17 18:30:00,09h 00m,03:30,3.8,1499.0,2"
"Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Sri Krishna Travels,A/C Sleeper (2+1),2024-07-17 17:45:00,12h 45m,06:30,3.7,800.0,22"
